nama,satuan,harga_barang,jenis_barang,tanggal_penetapan
JERIGEN 25L(N),PC,18150,NON-ASSET,2021-01-21
DRUM PLASTIK 290L (N),PC,130000,NON-ASSET,2014-05-16
